qp	pos	id	rep	trayid	row	col	indpop	water	FT.q	FT.date	FT.dif
102	b5	6958	3	30_i_l	b	5	i	l	1	2016-03-09	139
102	b6	10006	3	30_i_l	b	6	i	l	1	2016-03-21	151
102	b7	5784	3	30_i_l	b	7	i	l	1	2016-03-25	155
102	b8	7008	3	30_i_l	b	8	i	l	0	NA	NA
102	c1	6074	3	30_i_l	c	1	i	l	1	2016-03-18	148
102	c2	9544	3	30_i_l	c	2	i	l	1	2016-03-01	131
102	c3	9515	3	30_i_l	c	3	i	l	1	2016-02-10	111
102	c4	9636	3	30_i_l	c	4	i	l	1	2016-03-10	140
102	c5	6040	3	30_i_l	c	5	i	l	0	NA	NA
102	c6	9825	3	30_i_l	c	6	i	l	1	2016-03-04	134
102	c7	9895	3	30_i_l	c	7	i	l	0	NA	NA
102	c8	9902	3	30_i_l	c	8	i	l	1	2016-03-18	148
102	d1	6986	3	30_i_l	d	1	i	l	1	2016-03-08	138
102	d2	9722	3	30_i_l	d	2	i	l	0	NA	NA
102	d3	9518	3	30_i_l	d	3	i	l	0	NA	NA
102	d4	9701	3	30_i_l	d	4	i	l	1	2016-03-14	144
102	d5	9521	3	30_i_l	d	5	i	l	1	2016-03-14	144
102	d6	9744	3	30_i_l	d	6	i	l	1	2016-03-21	151
102	d7	9616	3	30_i_l	d	7	i	l	1	2016-03-18	148
102	d8	9723	3	30_i_l	d	8	i	l	1	2016-03-08	138
102	e2	9813	3	30_i_l	e	2	i	l	0	NA	NA
102	e3	6042	3	30_i_l	e	3	i	l	0	NA	NA
102	e4	9332	3	30_i_l	e	4	i	l	0	NA	NA
102	e5	9839	3	30_i_l	e	5	i	l	0	NA	NA
102	e6	9555	3	30_i_l	e	6	i	l	1	2016-02-22	123
102	e7	9890	3	30_i_l	e	7	i	l	0	NA	NA
103	a2	9831	3	31_i_l	a	2	i	l	1	2016-02-24	125
103	a3	9802	3	31_i_l	a	3	i	l	1	2016-03-03	133
103	a4	6114	3	31_i_l	a	4	i	l	1	2016-03-21	151
103	a5	9897	3	31_i_l	a	5	i	l	1	2016-03-14	144
103	a6	9625	3	31_i_l	a	6	i	l	1	2016-03-10	140
103	a7	5151	3	31_i_l	a	7	i	l	1	2016-03-25	155
103	b1	7071	3	31_i_l	b	1	i	l	1	2016-03-08	138
103	b2	7384	3	31_i_l	b	2	i	l	1	2016-03-11	141
103	b3	9810	3	31_i_l	b	3	i	l	1	2016-03-16	146
103	b4	6094	3	31_i_l	b	4	i	l	1	2016-03-25	155
103	b5	7125	3	31_i_l	b	5	i	l	1	2016-03-10	140
103	b6	7477	3	31_i_l	b	6	i	l	1	2016-03-21	151
103	b7	9506	3	31_i_l	b	7	i	l	1	2016-03-04	134
103	b8	6140	3	31_i_l	b	8	i	l	1	2016-03-25	155
103	c1	9583	3	31_i_l	c	1	i	l	1	2016-03-16	146
103	c2	9421	3	31_i_l	c	2	i	l	1	2016-04-01	162
103	c3	9761	3	31_i_l	c	3	i	l	1	2016-03-08	138
103	c4	9503	3	31_i_l	c	4	i	l	1	2016-03-03	133
103	c5	9852	3	31_i_l	c	5	i	l	1	2016-03-04	134
103	c6	9547	3	31_i_l	c	6	i	l	1	2016-03-17	147
103	c7	6180	3	31_i_l	c	7	i	l	1	2016-04-01	162
103	c8	7288	3	31_i_l	c	8	i	l	1	2016-03-14	144
103	d1	6963	3	31_i_l	d	1	i	l	0	NA	NA
103	d2	9846	3	31_i_l	d	2	i	l	1	2016-03-30	160
