pathimage	site	totarea	sk	bp	ep	datelabeled	tray	pos	organ	indpop	num
../data/field_tuebingen_harvesting/2016_07_21/P1170533.JPG	tuebingen	164223	23911	1086	154	2017-07-11_12:47:17	330	b7	r	i	NA
../data/field_tuebingen_harvesting/2016_07_21/P1170534.JPG	tuebingen	610961	111041	5943	514	2017-07-11_12:47:18	330	b7	i	i	NA
../data/field_tuebingen_harvesting/2016_07_21/P1170535.JPG	tuebingen	214395	26885	1755	260	2017-07-11_12:47:21	330	c7	r	i	NA
../data/field_tuebingen_harvesting/2016_07_21/P1170536.JPG	tuebingen	602965	112563	5325	528	2017-07-11_12:47:22	330	c7	i	i	NA
../data/field_tuebingen_harvesting/2016_07_21/P1170537.JPG	tuebingen	269340	39235	2502	199	2017-07-11_12:47:24	330	d7	r	i	NA
../data/field_tuebingen_harvesting/2016_07_21/P1170538.JPG	tuebingen	625222	116551	6998	738	2017-07-11_12:47:25	330	d7	i	i	NA
../data/field_tuebingen_harvesting/2016_07_21/P1170539.JPG	tuebingen	297738	47346	3175	207	2017-07-11_12:47:27	330	e7	r	i	NA
../data/field_tuebingen_harvesting/2016_07_21/P1170540.JPG	tuebingen	802152	141810	5873	1062	2017-07-11_12:47:29	330	e7	i	i	NA
../data/field_tuebingen_harvesting/2016_07_21/P1170541.JPG	tuebingen	258824	41591	2460	133	2017-07-11_12:47:34	330	b8	r	i	NA
../data/field_tuebingen_harvesting/2016_07_21/P1170542.JPG	tuebingen	305703	53978	765	148	2017-07-11_12:47:35	330	b8	i	i	NA
../data/field_tuebingen_harvesting/2016_07_21/P1170543.JPG	tuebingen	286762	41538	1895	237	2017-07-11_12:47:39	330	c8	r	i	NA
../data/field_tuebingen_harvesting/2016_07_21/P1170544.JPG	tuebingen	825717	142516	6512	906	2017-07-11_12:47:40	330	c8	i	i	NA
../data/field_tuebingen_harvesting/2016_07_21/P1170545.JPG	tuebingen	331083	50976	3770	341	2017-07-11_12:47:43	330	d8	r	i	NA
../data/field_tuebingen_harvesting/2016_07_21/P1170546.JPG	tuebingen	752838	127828	8755	897	2017-07-11_12:47:46	330	d8	i	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170548.JPG	tuebingen	86459	17911	1238	76	2017-07-11_12:47:50	120	e3	r	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170549.JPG	tuebingen	216683	36195	959	365	2017-07-11_12:47:52	120	e3	i	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170550.JPG	tuebingen	86085	16593	1497	91	2017-07-11_12:47:55	120	e4	r	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170551.JPG	tuebingen	78308	15126	1166	92	2017-07-11_12:47:56	120	e4	i	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170552.JPG	tuebingen	84770	15611	1027	75	2017-07-11_12:47:59	120	e6	r	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170553.JPG	tuebingen	224706	47499	6347	199	2017-07-11_12:48:00	120	e6	i	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170554.JPG	tuebingen	63584	12988	791	78	2017-07-11_12:48:03	120	e5	r	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170555.JPG	tuebingen	270356	45894	5343	232	2017-07-11_12:48:04	120	e5	i	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170556.JPG	tuebingen	39014	8175	366	52	2017-07-11_12:48:07	120	d7	r	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170558.JPG	tuebingen	209757	36492	1195	187	2017-07-11_12:48:08	120	d7	i	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170559.JPG	tuebingen	45989	7979	669	77	2017-07-11_12:48:11	120	d8	r	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170560.JPG	tuebingen	138485	22726	918	153	2017-07-11_12:48:13	120	d8	i	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170561.JPG	tuebingen	49465	10398	812	78	2017-07-11_12:48:15	120	d6	r	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170562.JPG	tuebingen	79530	14979	536	46	2017-07-11_12:48:16	120	d6	i	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170563.JPG	tuebingen	63099	13668	575	52	2017-07-11_12:48:19	120	e7	r	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170564.JPG	tuebingen	46980	10298	156	26	2017-07-11_12:48:22	120	e7	i	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170565.JPG	tuebingen	66977	13600	722	75	2017-07-11_12:48:30	120	e2	r	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170566.JPG	tuebingen	62502	14256	309	27	2017-07-11_12:48:31	120	e2	i	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170567.JPG	tuebingen	67020	13541	1134	92	2017-07-11_12:48:33	120	d4	r	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170568.JPG	tuebingen	108738	21195	1893	115	2017-07-11_12:48:35	120	d4	i	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170569.JPG	tuebingen	86399	16815	1258	103	2017-07-11_12:48:37	120	d1	r	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170570.JPG	tuebingen	278089	62946	8282	327	2017-07-11_12:48:38	120	d1	i	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170571.JPG	tuebingen	63020	12462	833	69	2017-07-11_12:48:40	120	d2	r	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170572.JPG	tuebingen	66043	13080	269	46	2017-07-11_12:48:41	120	d2	i	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170573.JPG	tuebingen	53695	13123	1523	54	2017-07-11_12:48:44	120	c8	r	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170574.JPG	tuebingen	193468	35030	3319	167	2017-07-11_12:48:45	120	c8	i	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170575.JPG	tuebingen	39444	8982	344	36	2017-07-11_12:48:47	120	c1	r	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170576.JPG	tuebingen	122518	21952	1238	125	2017-07-11_12:48:49	120	c1	i	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170577.JPG	tuebingen	66821	14221	1042	98	2017-07-11_12:48:52	120	c7	r	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170578.JPG	tuebingen	255097	50980	3773	312	2017-07-11_12:48:54	120	c7	i	i	NA
