id	replicate	trayid	traynumber	rowcoor	colcoor	rep_type	water_type	quality	otherpos	othergeno
8237	1	6_p_l	6	C	4	p	l	1	0	0
9902	1	6_p_l	6	C	5	p	l	1	0	0
7126	1	6_p_l	6	C	6	p	l	1	0	0
6134	1	6_p_l	6	C	7	p	l	1	0	0
9058	1	6_p_l	6	C	8	p	l	1	0	0
7217	1	6_p_l	6	D	1	p	l	1	0	0
9716	1	6_p_l	6	D	2	p	l	1	0	0
9905	1	6_p_l	6	D	3	p	l	1	0	0
9602	1	6_p_l	6	D	4	p	l	1	0	0
9642	1	6_p_l	6	D	5	p	l	1	0	0
9699	1	6_p_l	6	D	6	p	l	1	0	0
9759	1	6_p_l	6	D	7	p	l	1	0	0
9762	1	6_p_l	6	D	8	p	l	1	0	0
6114	1	6_p_l	6	E	2	p	l	1	0	0
9834	1	6_p_l	6	E	3	p	l	1	0	0
8240	1	6_p_l	6	E	4	p	l	1	0	0
9827	1	6_p_l	6	E	5	p	l	1	0	0
9812	1	6_p_l	6	E	6	p	l	1	0	0
6008	1	6_p_l	6	E	7	p	l	1	0	0
9593	1	7_p_l	7	A	2	p	l	1	0	0
7373	1	7_p_l	7	A	3	p	l	1	0	0
10020	1	7_p_l	7	A	4	p	l	1	0	0
6133	1	7_p_l	7	A	5	p	l	1	0	0
9883	1	7_p_l	7	A	6	p	l	1	0	0
7106	1	7_p_l	7	A	7	p	l	1	0	0
9637	1	7_p_l	7	B	1	p	l	1	0	0
5772	1	7_p_l	7	B	2	p	l	1	0	0
6203	1	7_p_l	7	B	3	p	l	1	0	0
7063	1	7_p_l	7	B	4	p	l	1	0	0
9882	1	7_p_l	7	B	5	p	l	1	0	0
7002	1	7_p_l	7	B	6	p	l	1	0	0
7143	1	7_p_l	7	B	7	p	l	1	0	0
9533	1	7_p_l	7	B	8	p	l	1	0	0
6128	1	7_p_l	7	C	1	p	l	1	0	0
9764	1	7_p_l	7	C	2	p	l	1	0	0
9828	1	7_p_l	7	C	3	p	l	1	0	0
9332	1	7_p_l	7	C	4	p	l	1	0	0
9588	1	7_p_l	7	C	5	p	l	1	0	0
9782	1	7_p_l	7	C	6	p	l	1	0	0
9579	1	7_p_l	7	C	7	p	l	1	0	0
9098	1	7_p_l	7	C	8	p	l	1	0	0
9790	1	7_p_l	7	D	1	p	l	1	0	0
6202	1	7_p_l	7	D	2	p	l	1	0	0
9854	1	7_p_l	7	D	3	p	l	1	0	0
9867	1	7_p_l	7	D	4	p	l	1	0	0
9814	1	7_p_l	7	D	5	p	l	1	0	0
772	1	7_p_l	7	D	6	p	l	1	0	0
1552	1	7_p_l	7	D	7	p	l	1	0	0
9850	1	7_p_l	7	D	8	p	l	1	0	0
9737	1	7_p_l	7	E	2	p	l	1	0	0
9541	1	7_p_l	7	E	3	p	l	1	0	0
6099	1	7_p_l	7	E	4	p	l	1	0	0
6042	1	7_p_l	7	E	5	p	l	1	0	0
9594	1	7_p_l	7	E	6	p	l	1	0	0
9777	1	7_p_l	7	E	7	p	l	1	0	0
9802	1	8_p_l	8	A	2	p	l	1	0	0
9900	1	8_p_l	8	A	3	p	l	1	0	0
8354	1	8_p_l	8	A	4	p	l	1	0	0
6109	1	8_p_l	8	A	5	p	l	1	0	0
9622	1	8_p_l	8	A	6	p	l	1	0	0
8231	1	8_p_l	8	A	7	p	l	1	0	0
9901	1	8_p_l	8	B	1	p	l	1	0	0
9508	1	8_p_l	8	B	2	p	l	1	0	0
9582	1	8_p_l	8	B	3	p	l	1	0	0
7354	1	8_p_l	8	B	4	p	l	1	0	0
9821	1	8_p_l	8	B	5	p	l	1	0	0
9820	1	8_p_l	8	B	6	p	l	1	0	0
7208	1	8_p_l	8	B	7	p	l	1	0	0
6217	1	8_p_l	8	B	8	p	l	1	0	0
9586	1	8_p_l	8	C	1	p	l	1	0	0
9887	1	8_p_l	8	C	2	p	l	1	0	0
5768	1	8_p_l	8	C	3	p	l	1	0	0
9846	1	8_p_l	8	C	4	p	l	1	0	0
9899	1	8_p_l	8	C	5	p	l	1	0	0
7384	1	8_p_l	8	C	6	p	l	1	0	0
9585	1	8_p_l	8	C	7	p	l	1	0	0
7163	1	8_p_l	8	C	8	p	l	1	0	0
9774	1	8_p_l	8	D	1	p	l	1	0	0
6191	1	8_p_l	8	D	2	p	l	1	0	0
6192	1	8_p_l	8	D	3	p	l	1	0	0
9534	1	8_p_l	8	D	4	p	l	1	0	0
9766	1	8_p_l	8	D	5	p	l	1	0	0
6958	1	8_p_l	8	D	6	p	l	1	0	0
9843	1	8_p_l	8	D	7	p	l	1	0	0
9904	1	8_p_l	8	D	8	p	l	1	0	0
9523	1	8_p_l	8	E	2	p	l	1	0	0
9402	1	8_p_l	8	E	3	p	l	1	0	0
9653	1	8_p_l	8	E	4	p	l	1	0	0
6989	1	8_p_l	8	E	5	p	l	1	0	0
9925	1	8_p_l	8	E	6	p	l	1	0	0
9891	1	8_p_l	8	E	7	p	l	1	0	0
8230	1	9_p_l	9	A	2	p	l	1	0	0
6997	1	9_p_l	9	A	3	p	l	1	0	0
9830	1	9_p_l	9	A	4	p	l	1	0	0
9612	1	9_p_l	9	A	5	p	l	1	0	0
9720	1	9_p_l	9	A	6	p	l	1	0	0
6172	1	9_p_l	9	A	7	p	l	1	0	0
9596	1	9_p_l	9	B	1	p	l	1	0	0
9719	1	9_p_l	9	B	2	p	l	1	0	0
9506	1	9_p_l	9	B	3	p	l	1	0	0
9546	1	9_p_l	9	B	4	p	l	1	0	0
7347	1	9_p_l	9	B	5	p	l	1	0	0
5165	1	9_p_l	9	B	6	p	l	1	0	0
6979	1	9_p_l	9	B	7	p	l	1	0	0
7268	1	9_p_l	9	B	8	p	l	1	0	0
7102	1	9_p_l	9	C	1	p	l	1	0	0
7003	1	9_p_l	9	C	2	p	l	1	0	0
9507	1	9_p_l	9	C	3	p	l	1	0	0
8312	1	9_p_l	9	C	4	p	l	1	0	0
6911	1	9_p_l	9	C	5	p	l	1	0	0
9725	1	9_p_l	9	C	6	p	l	1	0	0
9421	1	9_p_l	9	C	7	p	l	1	0	0
6680	1	9_p_l	9	C	8	p	l	1	0	0
7244	1	9_p_l	9	D	1	p	l	1	0	0
9755	1	9_p_l	9	D	2	p	l	1	0	0
9789	1	9_p_l	9	D	3	p	l	1	0	0
6140	1	9_p_l	9	D	4	p	l	1	0	0
9590	1	9_p_l	9	D	5	p	l	1	0	0
9832	1	9_p_l	9	D	6	p	l	1	0	0
9635	1	9_p_l	9	D	7	p	l	1	0	0
7273	1	9_p_l	9	D	8	p	l	1	0	0
7378	1	9_p_l	9	E	2	p	l	1	0	0
6209	1	9_p_l	9	E	3	p	l	1	0	0
6149	1	9_p_l	9	E	4	p	l	1	0	0
9772	1	9_p_l	9	E	5	p	l	1	0	0
6150	1	9_p_l	9	E	6	p	l	1	0	0
7031	1	9_p_l	9	E	7	p	l	1	0	0
6940	1	10_p_l	10	A	2	p	l	1	0	0
6189	1	10_p_l	10	A	3	p	l	1	0	0
6105	1	10_p_l	10	A	4	p	l	1	0	0
9556	1	10_p_l	10	A	5	p	l	1	0	0
7147	1	10_p_l	10	A	6	p	l	1	0	0
9784	1	10_p_l	10	A	7	p	l	1	0	0
932	1	10_p_l	10	B	1	p	l	1	0	0
9804	1	10_p_l	10	B	2	p	l	1	0	0
9920	1	10_p_l	10	B	3	p	l	1	0	0
8311	1	10_p_l	10	B	4	p	l	1	0	0
9744	1	10_p_l	10	B	5	p	l	1	0	0
7181	1	10_p_l	10	B	6	p	l	1	0	0
9565	1	10_p_l	10	B	7	p	l	1	0	0
9718	1	10_p_l	10	B	8	p	l	1	0	0
9992	1	10_p_l	10	C	1	p	l	1	0	0
9933	1	10_p_l	10	C	2	p	l	1	0	0
9885	1	10_p_l	10	C	3	p	l	1	0	0
9847	1	10_p_l	10	C	4	p	l	1	0	0
7218	1	10_p_l	10	C	5	p	l	1	0	0
9886	1	10_p_l	10	C	6	p	l	1	0	0
9416	1	10_p_l	10	C	7	p	l	1	0	0
9576	1	10_p_l	10	C	8	p	l	1	0	0
5349	1	10_p_l	10	D	1	p	l	1	0	0
9559	1	10_p_l	10	D	2	p	l	1	0	0
9918	1	10_p_l	10	D	3	p	l	1	0	0
9894	1	10_p_l	10	D	4	p	l	1	0	0
7072	1	10_p_l	10	D	5	p	l	1	0	0
9892	1	10_p_l	10	D	6	p	l	1	0	0
9529	1	10_p_l	10	D	7	p	l	1	0	0
9835	1	10_p_l	10	D	8	p	l	1	0	0
9584	1	10_p_l	10	E	2	p	l	1	0	0
9657	1	10_p_l	10	E	3	p	l	1	0	0
7133	1	10_p_l	10	E	4	p	l	1	0	0
8227	1	10_p_l	10	E	5	p	l	1	0	0
7337	1	10_p_l	10	E	6	p	l	1	0	0
7062	1	10_p_l	10	E	7	p	l	1	0	0
7416	1	11_p_l	11	A	2	p	l	1	0	0
9938	1	11_p_l	11	A	3	p	l	1	0	0
9895	1	11_p_l	11	A	4	p	l	1	0	0
6142	1	11_p_l	11	A	5	p	l	1	0	0
6929	1	11_p_l	11	A	6	p	l	1	0	0
6074	1	11_p_l	11	A	7	p	l	1	0	0
8236	1	11_p_l	11	B	1	p	l	1	0	0
6235	1	11_p_l	11	B	2	p	l	1	0	0
801	1	11_p_l	11	B	3	p	l	1	0	0
9513	1	11_p_l	11	B	4	p	l	1	0	0
9616	1	11_p_l	11	B	5	p	l	1	0	0
7071	1	11_p_l	11	B	6	p	l	1	0	0
6151	1	11_p_l	11	B	7	p	l	1	0	0
9610	1	11_p_l	11	B	8	p	l	1	0	0
9701	1	11_p_l	11	C	1	p	l	1	0	0
7207	1	11_p_l	11	C	2	p	l	1	0	0
265	1	11_p_l	11	C	3	p	l	1	0	0
9799	1	11_p_l	11	C	4	p	l	1	0	0
7092	1	11_p_l	11	C	5	p	l	1	0	0
9339	1	11_p_l	11	C	6	p	l	1	0	0
9578	1	11_p_l	11	C	7	p	l	1	0	0
9542	1	11_p_l	11	C	8	p	l	1	0	0
9845	1	11_p_l	11	D	1	p	l	1	0	0
6897	1	11_p_l	11	D	2	p	l	1	0	0
9503	1	11_p_l	11	D	3	p	l	1	0	0
6193	1	11_p_l	11	D	4	p	l	1	0	0
6125	1	11_p_l	11	D	5	p	l	1	0	0
9601	1	11_p_l	11	D	6	p	l	1	0	0
8351	1	11_p_l	11	D	7	p	l	1	0	0
7280	1	11_p_l	11	D	8	p	l	1	0	0
2317	1	11_p_l	11	E	2	p	l	1	0	0
9545	1	11_p_l	11	E	3	p	l	1	0	0
9564	1	11_p_l	11	E	4	p	l	1	0	0
6131	1	11_p_l	11	E	5	p	l	1	0	0
8214	1	11_p_l	11	E	6	p	l	1	0	0
9511	1	11_p_l	11	E	7	p	l	1	0	0
9870	1	12_p_l	12	A	2	p	l	1	0	0
8246	1	12_p_l	12	A	3	p	l	1	0	0
6073	1	12_p_l	12	A	4	p	l	1	0	0
9880	1	12_p_l	12	A	5	p	l	1	0	0
9569	1	12_p_l	12	A	6	p	l	1	0	0
9598	1	12_p_l	12	A	7	p	l	1	0	0
9408	1	12_p_l	12	B	1	p	l	1	0	0
9522	1	12_p_l	12	B	2	p	l	1	0	0
9549	1	12_p_l	12	B	3	p	l	1	0	0
9726	1	12_p_l	12	B	4	p	l	1	0	0
6108	1	12_p_l	12	B	5	p	l	1	0	0
6126	1	12_p_l	12	B	6	p	l	1	0	0
