id	name	country	latitude	longitude	kgroup
6243	Tottarp-2	SWE	56.27373	13.90045	2
6244	TRÄ	SWE	62.9169	18.4728	11
6680	ANH-1	GER	51.85	6.4333	9
6897	Ag-0	FRA	45	1.3	9
6898	An-1	BEL	51.2167	4.4	9
6911	Cvi-0	CPV	15.1111	-23.6167	5
6915	Ei-2	GER	50.3	6.3	9
6929	Kondara	TJK	38.48	68.49	7
6938	Ms-0	RUS	55.7522	37.6322	7
6940	Mz-0	GER	50.3	8.3	9
6945	Nok-3	NED	52.24	4.45	9
6958	Ra-0	FRA	46	3.3	9
6961	Se-0	ESP	38.3333	-3.53333	10
6963	Sorbo	TJK	38.35	68.48	7
6979	Wei-0	SUI	47.25	8.26	2
6986	Abd-0	UK	57.1539	-2.2207	1
6987	Ak-1	GER	48.0683	7.62551	9
6989	Alst-1	UK	54.8	-2.4333	1
6990	Amel-1	NED	53.448	5.73	2
6992	Ang-0	BEL	50.3	5.3	9
6997	Appt-1	NED	51.8333	5.5833	9
7000	Aa-0	GER	50.9167	9.57073	9
7002	Baa-1	NED	51.3333	6.1	9
7003	Bs-1	SUI	47.5	7.5	9
7008	Benk-1	NED	52	5.675	9
7013	Bd-0	GER	52.4584	13.287	3
7014	Ba-1	UK	56.5459	-4.79821	9
7025	Bl-1	ITA	44.5041	11.3396	2
7026	Boot-1	UK	54.4	-3.2667	9
7028	Bch-1	GER	49.5166	9.3166	9
7031	Bsch-0	GER	50.0167	8.6667	9
7036	Bu-0	GER	50.5	9.5	9
7062	Ca-0	GER	50.2981	8.26607	9
7063	Can-0	ESP	29.2144	-13.4811	5
7071	Chat-1	FRA	48.0717	1.33867	9
7072	Chi-0	RUS	53.7502	34.7361	7
7077	Co-1	POR	40.12	-8.25	8
7081	Co	POR	40.2077	-8.42639	4
7092	Com-1	FRA	49.416	2.823	1
7102	Do-0	GER	50.7224	8.2372	9
7106	Dr-0	GER	51.051	13.7336	2
7117	El-0	GER	51.5105	9.68253	9
7125	Er-0	GER	49.5955	11.0087	9
7126	Es-0	FIN	60.1997	24.5682	3
7127	Est	GER	58.6656	24.9871	2
7130	Et-0	FRA	44.6447	2.56481	9
7133	Fr-2	GER	50.1102	8.6822	9
7143	Gel-1	NED	51.0167	5.86667	9
7147	Gie-0	GER	50.584	8.67825	9
7162	Hs-0	GER	52.24	9.44	9
7163	Ha-0	GER	52.3721	9.73569	2
7164	Hau-0	DEN	55.675	12.5686	3
7165	Hn-0	GER	51.3472	8.28844	9
7169	Hh-0	GER	54.4175	9.88682	9
7181	Je-0	GER	50.927	11.587	3
7186	Kn-0	LTU	54.8969	23.8924	2
7203	Krot-0	GER	49.631	11.5722	2
7207	Kyoto	JPN	35.0085	135.752	2
7208	Lan-0	UK	55.6739	-3.78181	9
7209	La-0	POL	52.7333	15.2333	9
7217	Lm-2	FRA	48	0.5	1
7218	Le-0	NED	52.1611	4.49015	9
7244	Mnz-0	GER	50.001	8.26664	9
7250	Me-0	GER	51.9183	10.1138	9
7255	Mh-0	POL	50.95	7.5	9
7268	Np-0	GER	52.6969	10.981	9
7273	No-0	GER	51.0581	13.2995	2
7276	Ob-0	GER	50.2	8.5833	9
7280	Old-1	GER	53.1667	8.2	9
7282	Or-0	GER	50.3827	8.01161	9
7287	Ove-0	GER	53.3422	8.42255	9
7288	Oy-0	NOR	60.385543	6.193019	NA
7296	Petergof	RUS	59	29	2
