pathimage,site,totarea,sk,bp,ep,datelabeled,tray,pos,organ,ptype,num
../data/field_madrid_harvesting/2016_527/P1020940.JPG,madrid,24205,2054,53,30,Rocio,52,b1,i,p,3
../data/field_madrid_harvesting/2016_527/P1020942.JPG,madrid,258892,35539,650,147,Rocio,43,d8,i,p,6
../data/field_madrid_harvesting/2016_527/P1020947.JPG,madrid,273583,37073,656,113,Rocio,37,d2,i,p,1
../data/field_madrid_harvesting/2016_527/P1020949.JPG,madrid,223066,33540,976,113,Rocio,18,c2,i,p,2
../data/field_madrid_harvesting/2016_527/P1020951.JPG,madrid,236861,33274,530,68,Rocio,9,d1,i,p,3
../data/field_madrid_harvesting/2016_527/P1020957.JPG,madrid,195873,29130,477,60,Rocio,28,a6,i,p,3
../data/field_madrid_harvesting/2016_527/P1020959.JPG,madrid,309443,39364,658,157,Rocio,29,c1,i,p,4
../data/field_madrid_harvesting/2016_527/P1020963.JPG,madrid,139373,26433,1012,68,Rocio,29,e6,i,p,2
../data/field_madrid_harvesting/2016_527/P1020965.JPG,madrid,265956,33931,346,93,Rocio,29,d6,i,p,1
../data/field_madrid_harvesting/2016_527/P1020969.JPG,madrid,258483,38807,1142,124,Rocio,20,a3,i,p,1
../data/field_madrid_harvesting/2016_527/P1020971.JPG,madrid,181333,30423,907,85,Rocio,20,b3,i,p,1
../data/field_madrid_harvesting/2016_527/P1020973.JPG,madrid,122468,23119,622,39,Rocio,20,c3,i,p,2
../data/field_madrid_harvesting/2016_527/P1020975.JPG,madrid,285887,36728,441,151,Rocio,20,d6,i,p,8
../data/field_madrid_harvesting/2016_527/P1020977.JPG,madrid,187102,28084,358,48,Rocio,30,d2,i,p,2
../data/field_madrid_harvesting/2016_527/P1020980.JPG,madrid,383522,48693,1767,331,Rocio,21,b1,r,p,1
../data/field_madrid_harvesting/2016_527/P1020983.JPG,madrid,710690,82834,3343,1724,Rocio,21,b7,i,p,8
../data/field_madrid_harvesting/2016_527/P1020985.JPG,madrid,184793,29930,693,67,Rocio,21,b8,i,p,7
../data/field_madrid_harvesting/2016_527/P1020987.JPG,madrid,219940,40304,2643,145,Rocio,31,b7,i,p,12
../data/field_madrid_harvesting/2016_527/P1020989.JPG,madrid,237114,39380,1365,130,Rocio,31,d7,i,p,2
../data/field_madrid_harvesting/2016_527/P1020993.JPG,madrid,238062,36295,1143,151,Rocio,32,c2,i,p,2
../data/field_madrid_harvesting/2016_527/P1020994.JPG,madrid,121301,21075,316,66,Rocio,32,d3,r,p,1
../data/field_madrid_harvesting/2016_527/P1020997.JPG,madrid,310256,39159,894,165,Rocio,23,c8,i,p,2
../data/field_madrid_harvesting/2016_527/P1020999.JPG,madrid,143353,22625,883,164,Rocio,33,e4,i,p,1
../data/field_madrid_harvesting/2016_527/P1030003.JPG,madrid,261903,35012,588,130,Rocio,24,c5,i,p,3
../data/field_madrid_harvesting/2016_527/P1030005.JPG,madrid,169893,29979,1341,84,Rocio,25,b1,i,p,7
../data/field_madrid_harvesting/2016_527/P1030007.JPG,madrid,311264,36680,615,191,Rocio,25,c2,i,p,2
../data/field_madrid_harvesting/2016_527/P1030009.JPG,madrid,235181,37185,1051,127,Rocio,36,b7,i,p,8
../data/field_madrid_harvesting/2016_527/P1030011.JPG,madrid,223314,32599,743,98,Rocio,27,b6,i,p,12
../data/field_madrid_harvesting/2016_527/P1030013.JPG,madrid,200507,31584,1109,87,Rocio,72,d4,i,p,1
../data/field_madrid_harvesting/2016_527/P1030023.JPG,madrid,420280,54983,2602,595,Rocio,62,b4,i,p,3
../data/field_madrid_harvesting/2016_530/P1030066.JPG,madrid,141036,20026,381,82,Rocio,290,d1,r,i,1
../data/field_madrid_harvesting/2016_530/P1030102.JPG,madrid,193211,19423,466,101,Rocio,292,a6,r,i,1
../data/field_madrid_harvesting/2016_530/P1030187.JPG,madrid,373964,56074,3792,236,Rocio,283,c1,i,i,1
../data/field_madrid_harvesting/2016_530/P1030192.JPG,madrid,412889,58119,4582,268,Rocio,283,c6,r,i,1
../data/field_madrid_harvesting/2016_530/P1030224.JPG,madrid,112152,14060,210,61,Rocio,285,a4,r,i,1
../data/field_madrid_harvesting/2016_530/P1030339.JPG,madrid,310832,45383,2085,229,Rocio,308,e6,i,i,1
../data/field_madrid_harvesting/2016_530/P1030383.JPG,madrid,137600,17492,115,75,Rocio,310,d5,r,i,1
../data/field_madrid_harvesting/2016_530/P1030402.JPG,madrid,246797,36879,1319,168,Rocio,320,a6,i,i,1
../data/field_madrid_harvesting/2016_530/P1030409.JPG,madrid,215351,27223,401,140,Rocio,320,b5,r,i,1
../data/field_madrid_harvesting/2016_530/P1030415.JPG,madrid,191102,25221,417,106,Rocio,320,b8,r,i,1
../data/field_madrid_harvesting/2016_530/P1030470.JPG,madrid,93198,15704,133,73,Rocio,322,b2,r,i,1
