mean DTF1	sd	count	mean DTF2	sd	count	mean DTF3	sd	count	mean RL	sd	count	mean CL	sd	count	Ecotype_id
36.66666667	2.516611478	3	42	1	3	47.66666667	2.081665999	3	26.66666667	1.154700538	3	7	0	2	7344
39	0.816496581	4	43.25	1.5	4	47	1.154700538	4	34.5	1.290994449	4	7	0.816496581	4	7347
41.5	4.434711565	4	47	4.69041576	4	52.75	4.787135539	4	35.75	3.862210075	4	6.666666667	1.527525232	3	7349
39.33333333	2.516611478	3	44.66666667	3.511884584	3	52	3.605551275	3	35	7	3	7	0	2	7350
62.25	6.551081336	4	68.75	5.560275773	4	70.5	5.916079783	4	53	9.695359715	4	8.5	1.732050808	4	7353
79.5	0.707106781	2	83.5	0.707106781	2	93	2.828427125	2	71	5.656854249	2	16	1.414213562	2	7354
68.5	1	4	74.5	1.290994449	4	80.75	3.862210075	4	61	7.257180352	4	18	1	3	7355
53.33333333	4.932882862	3	57.33333333	4.932882862	3	64.33333333	3.214550254	3	44.75	11.41271221	4	10.66666667	1.527525232	3	7356
36.5	8.426149773	4	49.25	7.889866919	4	54.5	9.036961141	4	32.5	4.123105626	4	10	1.414213562	4	7372
42.5	2.516611478	4	45.5	2.645751311	4	54.25	2.872281323	4	36.75	1.707825128	4	9.75	1.5	4	7375
49	2.449489743	4	53	1.825741858	4	59.75	0.957427108	4	35.5	3.31662479	4	9.5	1	4	7377
42.75	2.986078811	4	46.5	3.31662479	4	52	3.741657387	4	42.25	4.924428901	4	10	4	4	7378
28.5	1.914854216	4	34.25	1.707825128	4	40	2.160246899	4	17.25	0.957427108	4	5.25	0.5	4	7382
27	1.154700538	4	36	0.816496581	4	38	1.414213562	4	14.75	1.5	4	5.5	1	4	7383
57.25	7.088723439	4	62.25	6.396613687	4	65.75	7.274384281	4	51.25	0.957427108	4	12.5	0.577350269	4	7384
31.75	10.62622542	4	36.75	9.464847243	4	41.25	11.08677891	4	13	5.228129047	4	3.25	2.217355783	4	7387
28.75	5.678908346	4	37.75	4.991659711	4	41.75	5.737304826	4	13	2.943920289	4	3.5	1.290994449	4	7394
31.75	0.957427108	4	52.25	30.53276928	4	41.33333333	2.886751346	3	17.5	1.290994449	4	6.666666667	0.577350269	3	7404
43.5	0.707106781	2	46	1.414213562	2	54	2.828427125	2	31	4.242640687	2	7.5	0.707106781	2	7411
65.33333333	5.131601439	3	69.66666667	5.686240703	3	78.66666667	3.511884584	3	56.33333333	4.041451884	3	11.33333333	1.527525232	3	7416
32.75	2.362907813	4	38.75	2.217355783	4	43.25	2.5	4	20.5	2.380476143	4	5.75	0.957427108	4	7419
25	1.414213562	4	31	1.154700538	4	35.5	1.732050808	4	12.5	1.290994449	4	2.5	0.577350269	4	7424
