323		401	401	321	401	401	401			row1
			207	321	406	209	401			row1
X		318	328	X	X	328	226	328	X	row1
X	401	401		108	X	318	401	406	121	row1
			328	401	325	328	325			row1
			328	328	321	406	328			row1
408			301	401	406	406	406	406		row1
401		408	323	408	321	401	321	406		row1
408			401	408	401	401	406	401		row1
401		401	408	401	321	316	318	401		row1
X	408	328	408	X	X	401	406	401	X	row1
X	408		401	109	X	401	401	406	122	row1
408		308	323	411	406	321	328	401		row1
408	323	401	218	401	401	401		325		row1
308	401	401	408	401	406	406		321		row1
408	408	408	408	316	406	406	411			row1
401	408	401		308	401	401	408	401		row1
408	408			408		325	411	406		row1
X	408	318	408	X	X	316	401	406	X	row1
X	401	316	325	110	X	321	406		123	row1
401	328	328	325	408	401	328	406			row1
401	318			411	408	406				row1
		325	401	328	406	406				row1
401	401	301	408		401	401				row1
408	401	408	401	408	401	325				row1
408		408	408	323		328				row1
X	408		408	X	X				X	row1
X		408	408	111	X	401	401	321	124	row1
408		328	408	408	408	406				row1
408		408		328	401	328				row1
408	408	408	328	318	401	406	328			row1
408	408	321	408	408	406	406		406		row1
408		408		316	401	401		323		row1
	408	411	411	408	406					row1
