tg_ecotypeid,name,country,sitename,latitude,longitude,collector,collectiondate,release_status,seq_by,picture,CS_number
9982,Apost-1,ITA,,39.01,16.47,,12/30/99,released,MPI,http://gwapp.gmi.oeaw.ac.at/public/plants/9982.png,CS76368
9983,Ciste-1,ITA,,41.62,12.87,,12/30/99,released,MPI,http://gwapp.gmi.oeaw.ac.at/public/plants/9983.png,CS76359
9984,Ciste-2,ITA,,41.62,12.87,,12/30/99,released,MPI,http://gwapp.gmi.oeaw.ac.at/public/plants/9984.png,CS76360
9985,Slavi-1,BUL,,41.43,23.65,,12/30/99,released,MPI,http://gwapp.gmi.oeaw.ac.at/public/plants/9985.png,CS76419
9986,Jablo-1,BUL,,41.59,25.2,,12/30/99,released,MPI,http://gwapp.gmi.oeaw.ac.at/public/plants/9986.png,CS76372
9987,Lecho-1,BUL,,41.43,23.5,,12/30/99,released,MPI,http://gwapp.gmi.oeaw.ac.at/public/plants/9987.png,CS76371
9988,Bak-2,GEO,Bakuriani,41.7942,43.4767,James Beck,1999-12-30 0:00:00,released,MPI,http://gwapp.gmi.oeaw.ac.at/public/plants/9988.png,CS76392
9990,Lag2-2,GEO,Lagodechi,41.8296,46.2831,James Beck,1999-12-30 0:00:00,released,MPI,http://gwapp.gmi.oeaw.ac.at/public/plants/9990.png,CS76390
9991,Vash-1,GEO,Vashlovani,41.2381,46.3728,James Beck,1999-12-30 0:00:00,,MPI,http://gwapp.gmi.oeaw.ac.at/public/plants/9991.png,CS76391
9993,Nemrut-1,TUR,Nemrut Mountain,38.6425,42.2394,James Beck,1999-12-30 0:00:00,released,MPI,http://gwapp.gmi.oeaw.ac.at/public/plants/9993.png,CS76398
9995,HKT2.4,GER,,48.14,9.4,,12/30/99,released,MPI,http://gwapp.gmi.oeaw.ac.at/public/plants/9995.png,CS76404
9996,Nie1-2,GER,,48.52,8.8,,12/30/99,released,MPI,http://gwapp.gmi.oeaw.ac.at/public/plants/9996.png,CS76402
9997,Rue3.1-31,GER,,48.56,9.16,,12/30/99,released,MPI,http://gwapp.gmi.oeaw.ac.at/public/plants/9997.png,CS76406
9998,Star-8,GER,,48.43,8.82,,12/30/99,released,MPI,http://gwapp.gmi.oeaw.ac.at/public/plants/9998.png,CS76400
9999,TueSB30-3,GER,,48.53,9.06,,12/30/99,released,MPI,http://gwapp.gmi.oeaw.ac.at/public/plants/9999.png,CS76403
