id,FT10_mean,FT10_sd,FT16_mean,FT16_sd,seq_by,name,country,sitename,latitude,longitude,collector,collectiondate,CS_number,group,relict,icon
410,76,5.2915026221,65.25,4.5,Monsanto,Doubravnik7,CZE,Dou,49.4211,16.3497,Marie-Theres Hauser,,CS76808,central_europe,,ylw_circle
424,83.25,3.3040379336,68.25,7.804912983,Monsanto,Draha2,CZE,Dra-1,49.4112,16.2815,Marie-Theres Hauser,,CS76812,central_europe,,ylw_circle
428,75.75,8.139410298,59,6.244997998,Monsanto,Borky1,CZE,Borky,49.403,16.232,Marie-Theres Hauser,,CS76718,central_europe,,ylw_circle
430,92.3333333333,2.8867513459,55,2.309401077,Salk,Gr-1,AUT,Graz,47,15.5,Albert Kranz,,CS76496,central_europe,,ylw_circle
4779,68.6666666667,3.0550504633,50.25,2.5,Monsanto,UKSW06-179,UK,St Columb,50.4,-4.9,Eric Holub,2006-05-11 00:00:00,CS78808,western_europe,,blu_circle
4807,79.75,6.8980673622,87.5,20.20725942,Monsanto,UKSW06-207,UK,Indian Queen,50.4,-4.9,Eric Holub,2006-05-11 00:00:00,CS78809,western_europe,,blu_circle
4826,60,1.4142135624,51,3,Monsanto,UKSW06-226,UK,St Dennis,50.4,-4.9,Eric Holub,2006-05-11 00:00:00,CS78810,western_europe,,blu_circle
4884,70.25,6.6520673478,49.5,1,Monsanto,UKSW06-285,UK,St Stephens,50.3,-4.9,Eric Holub,2006-05-11 00:00:00,CS78811,western_europe,,blu_circle
4900,71,3.559026084,50.25,0.957427108,Monsanto,UKSW06-302,UK,St Austel,50.3,-4.8,Eric Holub,2006-05-11 00:00:00,CS78812,western_europe,,blu_circle
4931,62.75,1.8929694486,48,2.449489743,,UKSW06-333,UK,Fowey,50.327643,-4.6,Eric Holub,2006-05-12 00:00:00,,,,
4958,91.25,4.6457866216,100.25,5.123475383,Monsanto,UKSW06-360,UK,Liskeard,50.5,-4.5,Eric Holub,2006-05-12 00:00:00,CS78814,western_europe,,blu_circle
5023,61,1.6329931619,43.75,0.957427108,Monsanto,UKSE06-118,UK,East Malling Research Station,51.3,0.5,Eric Holub,2006-05-05 00:00:00,CS78799,western_europe,,blu_circle
5104,60,2.9439202888,40.75,7.5,Monsanto,UKSE06-252,UK,East Malling village,51.3,0.5,Eric Holub,2006-05-23 00:00:00,CS78800,germany,,ltblu_circle
5151,81.75,8.1802607945,73.66666667,4.932882862,Monsanto,UKSE06-325,UK,West Malling village,52.2,-1.7,Eric Holub,2006-05-05 00:00:00,CS78801,admixed,,forbidden
5165,86.5,8.5829287931,81.75,2.753785274,Monsanto,UKSE06-362,UK,Wateringbury,51.3,0.4,Eric Holub,2006-05-05 00:00:00,CS78802,admixed,,forbidden
5210,96,6.2449979984,78,2.943920289,Monsanto,UKSE06-432,UK,Tonbridge castle,51.2,0.3,Eric Holub,2006-05-23 00:00:00,CS78803,western_europe,,blu_circle
5236,58.5,3.6968455021,43.5,2.380476143,Monsanto,UKSE06-470,UK,Paddock Wood,51.2,0.4,Eric Holub,2006-05-23 00:00:00,CS78804,western_europe,,blu_circle
5253,62.75,3.7749172176,38,2.160246899,Monsanto,UKSE06-500,UK,Sissinghurst Castle garden,51.1,0.6,Eric Holub,2006-05-23 00:00:00,CS78805,western_europe,,blu_circle
5276,74.5,5.3229064742,49.75,2.62995564,Monsanto,UKSE06-533,UK,Cnt,51.3,1.1,Eric Holub,2006-05-05 00:00:00,CS78806,western_europe,,blu_circle
5349,92,5.4160256031,97.33333333,7.234178138,Monsanto,UKSE06-639,UK,Scotney Castle,51.1,0.4,Eric Holub,2006-05-23 00:00:00,CS78807,western_europe,,blu_circle
5353,71,5.3541261347,62.5,9.110433579,Monsanto,UKNW06-003,UK,"Dove Cottage,Wordsworth Trust, nr Grasmere",54.5,-3,Eric Holub,2006-06-08 00:00:00,CS78792,western_europe,,blu_circle
5470,154.6666666667,30.4357246231,NA,NA,,UKNW06-212,UK,Thirlmere,54.7,-3.4,Eric Holub,2006-06-08 00:00:00,,,,
5486,60.5,3,37.5,1.732050808,Monsanto,UKNW06-233,UK,High Lorton,54.6,-3.3,Eric Holub,2006-06-08 00:00:00,CS78794,germany,,ltblu_circle
5506,125,10.295630141,132,NA,,UKNW06-281,UK,Borrowdale,54.6,-3.1,Eric Holub,2006-06-08 00:00:00,,,,
5535,81.5,5.8022983952,70.75,2.62995564,,UKNW06-354,UK,Keswick,54.6,-3.1,Eric Holub,2006-06-08 00:00:00,,,,
5577,66.75,3.0956959368,51,1.154700538,Monsanto,UKNW06-403,UK,Cockermouth,54.7,-3.4,Eric Holub,2006-06-08 00:00:00,CS78797,western_europe,,blu_circle
5644,60.75,5.3150729064,46.25,6.130524719,Monsanto,UKNW06-481,UK,Windemere,54.4,-2.9,Eric Holub,2006-06-08 00:00:00,CS78798,western_europe,,blu_circle
5720,92,6.3770421566,63.33333333,2.081665999,Monsanto,Cal-2,UK,Cal,53.3,-1.6,D. Ratcliffe,1954-01-01 00:00:00,CS78781,admixed,,forbidden
5726,74,3.1622776602,48,2.160246899,Monsanto,Cnt-1,UK,Canterbury (Sullivan garden),51.3,1.1,Eric Holub,1992-01-01 00:00:00,CS78782,western_europe,,blu_circle
5741,97.25,4.0311288741,88.5,13.3041347,Monsanto,For-2,UK,Fortingall,56.6,-4.1,D. Ratcliffe,1959-01-01 00:00:00,CS78783,western_europe,,blu_circle
5748,60.75,2.7537852736,41.75,2.986078811,Monsanto,Kil-0,UK,Killearn,56,-4.4,D. Ratcliffe,1959-01-01 00:00:00,CS78784,germany,,ltblu_circle
5757,87.75,1.8929694486,66.66666667,4.041451884,Monsanto,Mc-1,UK,Mickell’s Fell,54.6,-2.3,D. Ratcliffe,1960-01-01 00:00:00,CS78785,admixed,,forbidden
5768,96.25,5.123475383,85,7,"Monsanto,MPI",UKID63,UK,Ripon,54.1,-1.5,Eric Holub,1992-01-01 0:00:00,CS78786,admixed,,forbidden
5772,66.75,2.6299556397,49,2,Monsanto,Set-1,UK,Settle,54.1,-2.3,D. Ratcliffe,1955-01-01 00:00:00,CS78787,admixed,,forbidden
5778,66.25,5.5602757725,42.5,1.290994449,,Sna-1,UK,Snape Malting,52.2,1.5,Eric Holub,1992-01-01 0:00:00,,,,
5779,90.5,4.4347115652,67,3.464101615,Monsanto,UKID74,UK,Taunton,51,-3.1,Eric Holub,1992-01-01 00:00:00,CS78789,western_europe,,blu_circle
5784,101.75,5.9090326337,69.25,4.031128874,Monsanto,Ty-1,UK,Taynuilt,56.4,-5.2,D. Ratcliffe,1961-01-01 00:00:00,CS78790,admixed,,forbidden
5800,61.75,4.1129875598,39,2,Monsanto,UKID96,UK,Lochcarron (Barlow),57.4,-5.5,Eric Holub,1995-01-01 00:00:00,CS78791,germany,,ltblu_circle
5811,72,6.6833125519,46,2.449489743,Monsanto,UKID107,UK,Chirk,52.9,-3.1,Eric Holub,1995-01-01 00:00:00,CS78778,admixed,,forbidden
5818,65.75,2.8722813233,40.33333333,1.527525232,,UKID114,UK,Tring (N.History Museum),51.8,-0.6,Eric Holub,1995-01-01 00:00:00,,,,
