"","id","latitude.x","longitude.x","kgroup","X6.5","X14.5","X18.5","X20.5","X22.5","X25.5","X27.5","X29.5","X32.5","X34.5","X36.5","X39.5","X42.5","X47.5","X49.5","X53.5","X57.5","X62.5","X69.5","peakday","peakvalue","endday","endvalue","lm.r","lm.a","lm.b","exp.r","exp.a","exp.b","pol.r","pol.a","pol.b","pol.c","pol.d"
"20",6150,55.9261,13.5319,6,1573.6,8400.6,22376,31075,39666.8,61427.4,81829.4,101217.6,114493.4,113533,119871.4,116498.4,118516,106676,80111,38093.4,14282.8,7695.8,695.8,38.3,148334.4,69.5,695.8,0.696711288097569,334403.728464659,-5162.17566536256,0.852833636560642,21.6709576249159,-0.248751432190697,0.911779111083035,1039158.06691262,-28363.9277968694,148.472237784186,0.642466391313022
"21",6151,55.6528,13.2244,3,1673.2,12444.8,33350.6,48636.4,66152.6,85616.2,133649.2,153551.6,173250.6,187058.4,200957,207023,206338.4,122023.4,81054.8,34213.6,21591,9386.6,1752,37.7,218221.2,69.5,1752,0.621108173660971,461451.439031243,-7184.44855100187,0.799213412487059,21.1728170088599,-0.211057443415127,0.861149914817797,2539435.86433837,-101441.349931305,1329.63459671768,-5.68754069556542
"22",6177,62.6322,17.69,11,3850.5,15432,41094.25,55727.25,79576.5,118063,134418,145679.75,142629.5,141639.25,144824.25,149978.5,140518,86514.5,52525.75,19948,13569.75,6343.75,NA,35.75,167268,67.75,1312,0.594202975561288,381871.842123313,-6191.32350180949,0.649642919154409,19.8117290447442,-0.200873521566796,0.883486291786247,-163227.114654724,40451.9579323075,-1187.43791767886,9.32459794047537
"23",6180,62.6322,17.6906,9,3500.83333333333,8523,24914.6666666667,37645,49480.6666666667,72909.3333333333,92714.1666666667,104775.833333333,121473,133916.166666667,136625.333333333,139676.833333333,132592.5,73505.8333333333,42400.8333333333,6493.83333333333,1554.33333333333,805.833333333333,NA,39.1666666666667,143131.166666667,68.3333333333333,600.166666666667,0.739756159861129,344627.481733189,-5608.01705151721,0.861994454247083,26.3082881981618,-0.345419391236244,0.918107677463993,540630.768344656,235.83471111502,-432.004993387017,4.59238861396419
"24",6184,62.8892,18.4522,11,1792.42857142857,11459.4285714286,33954.2857142857,46543.2857142857,62505.1428571429,91326,108708.571428571,111944.571428571,123694,132478,138890.714285714,138652.142857143,124027.714285714,79456.2857142857,51884.1428571429,9088.14285714286,2955.42857142857,1900.28571428571,184.428571428571,36.5,155244.428571429,69.5,184.428571428571,0.691628764405873,338755.034780692,-5432.02396074641,0.851500698555816,22.0720351702312,-0.270433084959803,0.904013815839097,-15880.4000348345,26362.0148202,-821.779463761313,6.4242062766363
"25",6195,55.7708,14.1342,3,2370,10906,30691,53902,94428,180453,203016,193673,234554,240111,248463,253419,214789,38773,35922,9192,1469,960,NA,39.5,253419,62.5,960,0.69510176209193,653973.568574514,-11413.5914326854,0.964457401510069,23.389918788468,-0.268565323908271,0.920988889229182,4682439.44408112,-210263.471456791,3059.99120635127,-14.2906433412942
"26",6209,62.8836,18.1842,11,752.75,13129.5,36826.25,46538.75,56056.75,83522,94758.25,101778.5,112745.75,116471.25,117757,126440,117875.75,76554.75,51582.25,24753.5,6556.75,2384.5,135,37.25,140002.75,69.5,135,0.597483236357746,323727.048701542,-5123.63028685769,0.737899669080414,20.1199062466361,-0.211354478771567,0.850568207371052,1845656.21018534,-72187.3037564003,903.950353006556,-3.55422525578566
"27",6216,63.0167,18.3283,11,2122.66666666667,10244,26142.3333333333,34451.8333333333,42278.5,46265.1666666667,54238.1666666667,62743.3333333333,75195.3333333333,79252.8333333333,87394.5,93925.3333333333,88000.6666666667,58113.1666666667,42587.8333333333,22240.5,8970.16666666667,1202.16666666667,65.3333333333333,33.3333333333333,107289.333333333,69.5,65.3333333333333,0.720798390580521,224668.342241896,-3520.08278483399,0.756555067333722,21.4807636642227,-0.256448564935947,0.854483349084401,-5706.05222703161,15391.263660141,-464.192132246637,3.50848307770398
"28",6243,56.27373,13.90045,2,1394.33333333333,6174.5,22190.8333333333,36619.6666666667,54912.1666666667,94835.6666666667,122945.166666667,142260,161026.333333333,162753.5,164908.333333333,156652.333333333,94477.8333333333,30866.6666666667,12269.8333333333,785,100.333333333333,66.6666666666667,8.66666666666667,34.5,177359.5,69.5,8.66666666666667,0.533439683064379,329391.580995338,-5457.90439155798,0.779707977271808,25.2116010700426,-0.367439499061625,0.831605511064495,2751447.5930431,-129227.414255924,2006.27786673915,-10.3032813293001
"29",6244,62.9169,18.4728,11,1286,8418.5,29114.75,41095.25,66646.75,94972.75,109675.5,123977.5,139487.25,148734.75,155451.25,159645,140164.5,111182.25,78527.25,8204.25,2603.5,1284,145.25,40.25,164415.25,69.5,145.25,0.624289139231428,398226.060957886,-6330.70890514177,0.896415905494685,24.6568532648727,-0.308295525724683,0.865651634649988,-473189.4988524,59548.5961697114,-1529.56829711892,11.1041715268908
"30",6898,51.2167,4.4,9,3587.28571428571,16492,41050.2857142857,53358.1428571429,65979.8571428571,75840.7142857143,90073.8571428571,104393.285714286,93981.8571428571,98160.7142857143,109327.142857143,100387.142857143,74774.8571428571,42180,31255.4285714286,11618,7895.28571428571,1873.28571428571,217.142857142857,33.2142857142857,139733.571428571,69.5,217.142857142857,0.677660099848769,258782.681337897,-4194.26551528862,0.83219612045241,23.1156327578208,-0.30090906887548,0.916881974202094,776403.44132045,-27844.2152602938,305.776821758048,-0.945658635885465
