pathimage,site,totarea,sk,bp,ep,datelabeled,tray,pos,organ,ptype,num,i.pred,r.pred,pred
../data/field_tuebingen_harvesting/2016_07_22/P1170560.JPG,tuebingen,138485,22726,918,153,2017-07-11_12:48:13,120,d8,i,i,NA,0.808,0.192,r
../data/field_tuebingen_harvesting/2016_07_22/P1170611.JPG,tuebingen,148097,28760,1385,152,2017-07-11_12:55:56,105,c8,i,i,NA,0.802,0.198,r
../data/field_tuebingen_harvesting/2016_07_22/P1170641.JPG,tuebingen,117699,24583,1072,93,2017-07-12_15:45:39,105,b6,i,i,NA,0.808,0.192,r
../data/field_tuebingen_harvesting/2016_07_25/P1170779.JPG,tuebingen,343727,61988,4118,439,2017-07-12_16:44:37,339,d8,i,i,NA,0.812,0.188,r
../data/field_tuebingen_harvesting/2016_07_25/P1170798.JPG,tuebingen,152648,25242,810,80,2017-07-13_15:56:50,247,b3,r,i,NA,0.174,0.826,i
../data/field_tuebingen_harvesting/2016_07_29/P1170850.JPG,tuebingen,267109,53612,5074,261,2017-07-13_17:51:35,119,e5,i,i,NA,0.804,0.196,r
../data/field_tuebingen_harvesting/2016_07_29/P1170863.JPG,tuebingen,96221,17885,363,59,2017-07-13_17:52:12,119,e6,r,i,NA,0.194,0.806,i
../data/field_tuebingen_harvesting/2016_08_01/P1170965.JPG,tuebingen,44559,8145,288,65,2017-07-14_13:12:33,106,d6,r,i,NA,0.198,0.802,i
../data/field_tuebingen_harvesting/2016_08_01/P1170969.JPG,tuebingen,31780,6970,275,48,2017-07-14_13:12:41,106,d1,r,i,NA,0.194,0.806,i
../data/field_tuebingen_harvesting/2016_08_01/P1170977.JPG,tuebingen,198625,40601,4280,145,2017-07-14_13:12:53,106,c8,i,i,NA,0.802,0.198,r
../data/field_tuebingen_harvesting/2016_08_02/P1180029.JPG,tuebingen,66639,15638,281,32,2017-07-14_13:29:46,107,b3,i,i,NA,0.81,0.19,r
../data/field_tuebingen_harvesting/2016_08_02/P1180049.JPG,tuebingen,181945,38765,3776,193,2017-07-14_13:30:33,107,b7,i,i,NA,0.828,0.172,r
../data/field_tuebingen_harvesting/2016_08_02/P1180145.JPG,tuebingen,177779,39117,3494,224,2017-07-14_13:37:40,121,d4,i,i,NA,0.812,0.188,r
../data/field_tuebingen_harvesting/2016_08_03/P1180245.JPG,tuebingen,186178,37245,3896,95,2017-07-14_13:47:33,346,b8,i,i,NA,0.814,0.186,r
../data/field_tuebingen_harvesting/2016_08_04/P1180403.JPG,tuebingen,157184,33082,3758,126,2017-07-14_14:06:28,111,e7,i,i,NA,0.818,0.182,r
../data/field_tuebingen_harvesting/2016_08_04/P1180419.JPG,tuebingen,132266,32154,4942,112,2017-07-14_14:07:08,111,c7,i,i,NA,0.806,0.194,r
../data/field_tuebingen_harvesting/2016_08_04/P1180462.JPG,tuebingen,164702,35886,6735,75,2017-07-14_14:08:39,345,c3,r,i,NA,0.154,0.846,i
../data/field_tuebingen_harvesting/2016_08_05/P1180574.JPG,tuebingen,155619,33118,2492,175,2017-07-14_14:29:46,109,e4,i,i,NA,0.804,0.196,r
../data/field_tuebingen_harvesting/2016_08_06/P1180839.JPG,tuebingen,58934,12837,434,57,2017-07-14_14:46:41,101,e3,r,i,NA,0.186,0.814,i
../data/field_tuebingen_harvesting/2016_08_06/P1180854.JPG,tuebingen,309096,63385,5709,430,2017-07-14_14:47:19,101,d2,i,i,NA,0.802,0.198,r
../data/field_tuebingen_harvesting/2016_08_15/P1180907.JPG,tuebingen,37574,7494,200,46,2017-07-14_14:49:10,112,e2,r,i,NA,0.178,0.822,i
../data/field_tuebingen_harvesting/2016_08_15/P1180982.JPG,tuebingen,175623,33028,1243,119,2017-07-14_14:59:56,99,c1,i,i,NA,0.812,0.188,r
../data/field_tuebingen_harvesting/2016_08_15/P1190009.JPG,tuebingen,95855,24384,2022,76,2017-07-14_15:01:01,99,a6,i,i,NA,0.808,0.192,r
../data/field_tuebingen_harvesting/2016_08_31/P1190758.JPG,tuebingen,288910,49850,3713,234,2017-07-14_17:09:53,250,c4,r,i,NA,0.188,0.812,i
../data/field_tuebingen_harvesting/2016_09_01/P1200078.JPG,tuebingen,102338,17468,734,89,2017-07-14_17:30:16,75,e5,r,i,NA,0.168,0.832,i
../data/field_tuebingen_harvesting/2016_09_09/P1200137.JPG,tuebingen,267760,49583,3795,251,2017-07-14_17:33:14,256,b5,i,i,NA,0.814,0.186,r
../data/field_tuebingen_harvesting/2016_09_09/P1200192.JPG,tuebingen,307819,47098,1645,141,2017-07-14_17:35:50,74,a5,r,i,NA,0.186,0.814,i
../data/field_tuebingen_harvesting/2016_09_09/P1200202.JPG,tuebingen,221878,39091,1434,149,2017-07-14_17:36:41,74,c6,r,i,NA,0.19,0.81,i
../data/field_tuebingen_harvesting/2016_09_09/P1200206.JPG,tuebingen,231947,36982,1176,149,2017-07-14_17:36:53,74,e6,r,i,NA,0.182,0.818,i
../data/field_tuebingen_harvesting/2016_09_09/P1200283.JPG,tuebingen,216624,37590,1592,177,2017-07-14_17:44:51,73,b2,r,i,NA,0.198,0.802,i
../data/field_tuebingen_harvesting/2016_09_09/P1200296.JPG,tuebingen,173745,30799,987,57,2017-07-14_17:46:01,73,c3,i,i,NA,0.802,0.198,r
../data/field_tuebingen_harvesting/2016_09_09/P1200309.JPG,tuebingen,124405,23253,438,48,2017-07-14_17:46:31,73,e4,r,i,NA,0.17,0.83,i
../data/field_tuebingen_harvesting/2016_09_13/P1200481.JPG,tuebingen,240085,52666,5254,301,2017-07-17_10:22:38,80,b8,i,i,NA,0.808,0.192,r
../data/field_tuebingen_harvesting/2016_09_15/P1200868.JPG,tuebingen,123094,22552,511,62,2017-07-17_11:04:37,267,b3,i,i,NA,0.808,0.192,r
../data/field_tuebingen_harvesting/2016_09_15/P1200879.JPG,tuebingen,135174,21790,771,119,2017-07-17_11:05:33,267,e5,r,i,NA,0.196,0.804,i
