tg_ecotypeid name country latitude longitude seq_by neanderthal
6944 NFA-8 UK 51.4083 -0.6383 Salk NO
6945 Nok-3 NED 52.24 4.45 Salk NO
6951 Pu2-23 CZE 49.42 16.36 Salk NO
6956 Pu2-7 CZE 49.42 16.36 Salk NO
6957 Pu2-8 CZE 49.42 16.36 Salk NO
6958 Ra-0 FRA 46 3.3 Salk NO
6959 Ren-1 FRA 48.5 -1.41 Salk NO
6960 Ren-11 FRA 48.5 -1.41 Salk NO
6961 Se-0 ESP 38.3333 -3.53333 Salk NO
6963 Sorbo TJK 38.35 68.48 Salk NO
6966 Sq-1 UK 51.4083 -0.6383 Salk NO
6967 Sq-8 UK 51.4083 -0.6383 Salk NO
6968 Tamm-2 FIN 60 23.5 Salk,GMI NO
6969 Tamm-27 FIN 60 23.5 Salk NO
6970 Ts-1 ESP 41.7194 2.93056 Salk NO
6971 Ts-5 ESP 41.7194 2.93056 Salk NO
6973 Ull2-3 SWE 56.0648 13.9707 GMI NO
6974 Ull2-5 SWE 56.0648 13.9707 GMI NO
6975 Uod-1 AUT 48.3 14.45 Salk NO
6976 Uod-7 AUT 48.3 14.45 Salk NO
6979 Wei-0 SUI 47.25 8.26 Salk NO
6981 Ws-2 RUS 52.3 30 MPI,Salk NO
6982 Wt-5 GER 52.3 9.3 Salk NO
6984 Zdr-1 CZE 49.3853 16.2544 Salk NO
6986 Abd-0 UK 57.1539 -2.2207 Salk NO
6987 Ak-1 GER 48.0683 7.62551 Salk NO
6989 Alst-1 UK 54.8 -2.4333 Salk NO
6990 Amel-1 NED 53.448 5.73 Salk NO
6992 Ang-0 BEL 50.3 5.3 Salk NO
6997 Appt-1 NED 51.8333 5.5833 Salk NO
7000 Aa-0 GER 50.9167 9.57073 Salk NO
7002 Baa-1 NED 51.3333 6.1 Salk NO
7003 Bs-1 SUI 47.5 7.5 Salk NO
7008 Benk-1 NED 52 5.675 Salk NO
7013 Bd-0 GER 52.4584 13.287 Salk NO
7014 Ba-1 UK 56.5459 -4.79821 Salk NO
7025 Bl-1 ITA 44.5041 11.3396 Salk NO
7026 Boot-1 UK 54.4 -3.2667 Salk NO
7028 Bch-1 GER 49.5166 9.3166 Salk NO
7031 Bsch-0 GER 50.0167 8.6667 Salk NO
7033 Buckhorn USA 41.3599 -122.755 Salk,MPI NO
7036 Bu-0 GER 50.5 9.5 MPI,Salk NO
7058 Bur-0 IRL 54.1 -6.2 Mott NO
7061 Cal-0 UK 53.2699 -1.64293 Salk NO
7062 Ca-0 GER 50.2981 8.26607 Salk NO
7063 Can-0 ESP 29.2144 -13.4811 Mott YES
7064 Cnt-1 UK 51.3 1.1 Salk NO
7067 Ct-1 ITA 37.3 15 Mott NO
7068 Cerv-1 ITA 42 12.1 Salk NO
7071 Chat-1 FRA 48.0717 1.33867 Salk NO
7072 Chi-0 RUS 53.7502 34.7361 Salk NO
7077 Co-1 POR 40.12 -8.25 Salk NO
7081 Co POR 40.2077 -8.42639 Salk NO
7092 Com-1 FRA 49.416 2.823 Salk NO
7094 Da-0 GER 49.8724 8.65081 Monsanto NO
7096 Di-G FRA 47.3239 5.04278 Salk NO
7102 Do-0 GER 50.7224 8.2372 Salk NO
7103 Dra-0 CZE 49.4167 16.2667 Salk NO
7106 Dr-0 GER 51.051 13.7336 MPI,Salk NO
7107 Durh-1 UK 54.7761 -1.5733 Salk NO
7109 Ema-1 UK 51.3 0.5 Salk NO
7111 Edi-0 UK 55.9494 -3.16028 Mott NO
7117 El-0 GER 51.5105 9.68253 Salk NO
7119 En-2 GER 50 8.5 Salk NO
7120 En-D GER 50 8.5 Salk NO
7125 Er-0 GER 49.5955 11.0087 MPI,Salk NO
7126 Es-0 FIN 60.1997 24.5682 Salk NO
7127 Est GER 58.6656 24.9871 Salk NO
7130 Et-0 FRA 44.6447 2.56481 Salk NO
7133 Fr-2 GER 50.1102 8.6822 Salk NO
7138 Fi-0 GER 50.5 8.0167 Salk NO
7143 Gel-1 NED 51.0167 5.86667 Salk NO
7147 Gie-0 GER 50.584 8.67825 Salk NO
7158 Gr-5 AUT 47 15.5 Monsanto NO
7160 Gre-0 USA 43.178 -85.2532 Salk NO
7161 Gd-1 GER 53.5 10.5 Salk NO
7162 Hs-0 GER 52.24 9.44 Salk NO
7163 Ha-0 GER 52.3721 9.73569 Salk NO
7164 Hau-0 DEN 55.675 12.5686 Salk NO
7165 Hn-0 GER 51.3472 8.28844 Salk NO
7169 Hh-0 GER 54.4175 9.88682 Salk NO
7177 Jm-0 CZE 49 15 Salk NO
7181 Je-0 GER 50.927 11.587 Salk NO
7183 Kas-1 IND 35 77 Salk MAYBE
7186 Kn-0 LTU 54.8969 23.8924 Mott NO
7192 Kil-0 UK 55.6395 -5.66364 Salk NO
7199 Kl-5 GER 50.95 6.9666 Salk NO
